Index	Level	Parent12NC	Child12NC	Quantity	PrtUnit	Description	ItemType	SER NO.	ChgStatus	Note	Family
1	0	Top	904175430064	1	Piece	JLR359 25MM TWEETER 25MM	400				
2	1	904175430064	132252766500	1	Gram	GLUE OMNIFIT 2480 B	060		A-Add	NA	904175430064>132252766500
3	1	904175430064	434070300371	.01375	Meter	TRANSPARENT TAPE 2"	070	SER000006180		NA	904175430064>434070300371
4	1	904175430064	434107611742	.00339	Piece	STICKER A4 BLANK	070	SER000006189		NA	904175430064>434107611742
5	1	904175430064	434107631032	.03125	Piece	LAYPAD IN CARTON	070			NA	904175430064>434107631032
6	1	904175430064	434107631055	.025	Piece	EPE FILM	070			NA	904175430064>434107631055
7	2	434107631055	434107631078	1	Piece	CARTON	070		Add	NA	904175430064>434107631055>434107631078
8	1	904175430064	434107631078	.00625	Piece	CARTON	070			NA	904175430064>434107631078
9	1	904175430064	434107631085	.025	Piece	PP Tray	070			NA	904175430064>434107631085
10	1	904175430064	434107631541	.00435	Meter	BIND STRIP	070	SER000006177		NA	904175430064>434107631541
11	1	904175430064	434107632351	.0013021	Piece	LAYER PAD(ON PALLET)	070	RELEASREPORT		NA	904175430064>434107632351
12	1	904175430064	434107632391	.0002604	Piece	HARDBOARD PLATE	070	RELEASREPORT		NA	904175430064>434107632391
13	1	904175430064	434107695091	.0002604	Piece	PALLET	070	SER000006184		NA	904175430064>434107695091
14	1	904175430064	434107860999	1		N/A	N/A		Modify		904175430064>434107860999
15	2	434107860999	130454001305	1	Gram	Nd2010-B mix	060		Modify	NA	904175430064>434107860999>130454001305
16	2	434107860999	132252766500	1	Gram	GLUE OMNIFIT 2480 B	060		Modify	NA	904175430064>434107860999>132252766500
17	2	434107860999	434070300371	1	Meter	TRANSPARENT TAPE 2"	070	SER000006180	A-Add	NA	904175430064>434107860999>434070300371
18	2	434107860999	434107611742	1	Piece	STICKER A4 BLANK	070	SER000006189	A-Add	NA	904175430064>434107860999>434107611742
19	2	434107860999	434107631032	1	Piece	LAYPAD IN CARTON	070		A-Add	NA	904175430064>434107860999>434107631032
20	2	434107860999	434107631055	1	Piece	EPE FILM	070		A-Add	NA	904175430064>434107860999>434107631055
21	3	434107631055	434107631078	1	Piece	CARTON	070		Add	NA	904175430064>434107860999>434107631055>434107631078
22	2	434107860999	434107631078	1	Piece	CARTON	070		A-Add	NA	904175430064>434107860999>434107631078
23	2	434107860999	434107631085	1	Piece	PP Tray	070		A-Add	NA	904175430064>434107860999>434107631085
24	2	434107860999	434107631541	1	Meter	BIND STRIP	070	SER000006177	A-Add	NA	904175430064>434107860999>434107631541
25	2	434107860999	434107632351	1	Piece	LAYER PAD(ON PALLET)	070	RELEASREPORT	A-Add	NA	904175430064>434107860999>434107632351
26	2	434107860999	434107632391	1	Piece	HARDBOARD PLATE	070	RELEASREPORT	A-Add	NA	904175430064>434107860999>434107632391
27	2	434107860999	434107695091	1	Piece	PALLET	070	SER000006184	A-Add	NA	904175430064>434107860999>434107695091
28	2	434107860999	439929320141	1	Meter	STRETCH FILM	070	SER000006178	A-Add	NA	904175430064>434107860999>439929320141
29	1	904175430064	434107895302	1	Piece	MAGNET SYSTEM	300		A-Add		904175430064>434107895302
30	2	434107895302	430407137352	1	Piece	MAGNET PLATE TREATED	030			NA	904175430064>434107895302>430407137352
31	2	434107895302	430407138593	1	Piece	MAGNSYSPOT TREATED	030	SER000006918		NA	904175430064>434107895302>430407138593
32	1	904175430064	439929320141	.00781	Meter	STRETCH FILM	070	SER000006178		NA	904175430064>439929320141
											
